"","Value","Std.Error","t.value","p.value","dataset","Variable","adjP"
"1",3579.26518979796,85.5725229510383,41.8272719602517,2.46364279908977e-86,"05.q1.sam30","(Intercept)",6.20837985370622e-85
"2",-182.144716301056,4.44023196963771,-41.0214415702966,3.92014423435767e-85,"05.q1.sam30","ThermalRegime",7.05625962184381e-84
"3",-2.68961724624509,1.40004698801543,-1.9210906985755,0.0565557314202162,"05.q1.sam30","HWI",0.122862451016332
"4",-89.9153746365112,37.6286115715503,-2.38954802957686,0.0180707548052631,"05.q1.sam30","relevel(Diet, ref = ""invertebrates"")fruit",0.0464676552135337
"5",-5.74402874300191,24.5578750152918,-0.233897629148499,0.815373098866041,"05.q1.sam30","relevel(Diet, ref = ""invertebrates"")omnivore",0.842106643091157
"6",115.436648628332,44.712380566285,2.58176029024445,0.0107559206925501,"05.q1.sam30","relevel(Diet, ref = ""invertebrates"")seeds",0.0301165779391403
"7",-52.41293284289,76.3094496054904,-0.686847213731167,0.493205323106273,"05.q1.sam30","relevel(Diet, ref = ""invertebrates"")vertebrates",0.637231579395445
"8",3459.47582751402,138.932440072194,24.9004179708955,4.11526024763148e-37,"05.q1.sam60","(Intercept)",1.92045478222802e-36
"9",-175.411646781919,7.21834777413021,-24.3008029358984,1.97983127803257e-36,"05.q1.sam60","ThermalRegime",8.90924075114657e-36
"10",-2.93929076355127,2.1814109165325,-1.34742644830231,0.182067966249494,"05.q1.sam60","HWI",0.318618940936615
"11",-97.865165388559,67.3116102445175,-1.45391211164095,0.150315979187538,"05.q1.sam60","relevel(Diet, ref = ""invertebrates"")fruit",0.282683781755668
"12",-22.0945949769826,32.6824681389851,-0.676038140174217,0.501182237532021,"05.q1.sam60","relevel(Diet, ref = ""invertebrates"")omnivore",0.637231579395445
"13",44.7378718309541,64.1579175743153,0.697308664657536,0.48785521452387,"05.q1.sam60","relevel(Diet, ref = ""invertebrates"")seeds",0.637231579395445
"14",-120.549398255172,129.146874439115,-0.93342869332857,0.353718490960173,"05.q1.sam60","relevel(Diet, ref = ""invertebrates"")vertebrates",0.518238719313742
"15",3549.55806716347,84.1178706835826,42.1974312749246,2.66247799805752e-94,"05.q2.sam30","(Intercept)",1.11824075918416e-92
"16",-182.90716859792,4.09011254701574,-44.7193485498032,2.20739529704502e-98,"05.q2.sam30","ThermalRegime",1.39065903713836e-96
"17",-1.80491151288271,1.31638621095905,-1.37111092311408,0.172076287337782,"05.q2.sam30","HWI",0.309737317208008
"18",-66.1364500415346,35.4140890804952,-1.86751803473494,0.0634825321984838,"05.q2.sam30","relevel(Diet, ref = ""invertebrates"")fruit",0.131127853393589
"19",13.9627103917021,22.2055623478644,0.628793370461296,0.530294963429693,"05.q2.sam30","relevel(Diet, ref = ""invertebrates"")omnivore",0.655070248942562
"20",139.697954471639,40.7326374861906,3.42963193873709,0.000752009763413403,"05.q2.sam30","relevel(Diet, ref = ""invertebrates"")seeds",0.00256089811324564
"21",-28.070439044103,74.7417324876672,-0.375565806542347,0.707689415427063,"05.q2.sam30","relevel(Diet, ref = ""invertebrates"")vertebrates",0.775381446467912
"22",3472.44070055893,119.408789656939,29.0802771767073,2.87919583921266e-46,"05.q2.sam60","(Intercept)",1.57729859017737e-45
"23",-180.533422740825,6.00661585325106,-30.0557630372037,2.16826759074786e-47,"05.q2.sam60","ThermalRegime",1.36600858217115e-46
"24",-0.596250001644793,1.78907676409604,-0.333272452926892,0.739739790703417,"05.q2.sam60","HWI",0.784613789203034
"25",-63.9236774077205,43.6498499998087,-1.46446499605384,0.146713013827744,"05.q2.sam60","relevel(Diet, ref = ""invertebrates"")fruit",0.280088480943875
"26",-14.1216377314396,27.5812961225099,-0.512000511822015,0.60996296986136,"05.q2.sam60","relevel(Diet, ref = ""invertebrates"")omnivore",0.715756069294929
"27",57.7382561250333,56.3013771654655,1.0255212044875,0.30799326127162,"05.q2.sam60","relevel(Diet, ref = ""invertebrates"")seeds",0.472951543315326
"28",-85.6629421537821,118.442717098208,-0.723243642601964,0.471492739078099,"05.q2.sam60","relevel(Diet, ref = ""invertebrates"")vertebrates",0.636947603704471
"29",3476.29596890121,96.6983606620025,35.9498955835682,5.94449713848287e-87,"05.q3.sam30","(Intercept)",1.8725165986221e-85
"30",-181.154700534143,4.13862517363695,-43.7717099118082,1.62452218004258e-101,"05.q3.sam30","ThermalRegime",2.04689794685365e-99
"31",-0.271440887426119,1.49585637682156,-0.181461864676396,0.856197487717693,"05.q3.sam30","HWI",0.877080353271783
"32",-24.7351294651112,37.543877841552,-0.658832568375114,0.510796742213809,"05.q3.sam30","relevel(Diet, ref = ""invertebrates"")fruit",0.637231579395445
"33",-2.59308118119505,23.6934835755632,-0.109442799870488,0.91296618700069,"05.q3.sam30","relevel(Diet, ref = ""invertebrates"")omnivore",0.927691448081346
"34",58.8517240306628,42.299024417252,1.39132580104282,0.165745085476545,"05.q3.sam30","relevel(Diet, ref = ""invertebrates"")seeds",0.3026649386963
"35",-37.2923156783891,90.204103200832,-0.413421500298726,0.679761616462767,"05.q3.sam30","relevel(Diet, ref = ""invertebrates"")vertebrates",0.757964280303616
"36",3524.9726843245,108.732219306572,32.4188424259583,8.05198467310554e-53,"05.q3.sam60","(Intercept)",6.34093793007061e-52
"37",-182.439116771223,5.43490089156536,-33.5680669088847,3.94191318097593e-54,"05.q3.sam60","ThermalRegime",3.31120707201978e-53
"38",-0.832038650852163,1.64185731594269,-0.506766722523901,0.613505202252796,"05.q3.sam60","HWI",0.715756069294929
"39",-60.0081700819208,42.3281007890545,-1.41769106015354,0.159587368552265,"05.q3.sam60","relevel(Diet, ref = ""invertebrates"")fruit",0.295706006435079
"40",-12.2191186657385,25.6113220824914,-0.477098317157621,0.634399476557819,"05.q3.sam60","relevel(Diet, ref = ""invertebrates"")omnivore",0.726675764057138
"41",56.985694339961,54.2397370255611,1.05062630213539,0.296123797018111,"05.q3.sam60","relevel(Diet, ref = ""invertebrates"")seeds",0.466394980303525
"42",-91.2530181467657,113.778930161288,-0.802020356646078,0.424564116775432,"05.q3.sam60","relevel(Diet, ref = ""invertebrates"")vertebrates",0.594045701556825
"43",3822.89786459638,193.52080231316,19.7544543992231,3.49030738570325e-44,"95.q1.sam30","(Intercept)",1.83241137749421e-43
"44",-184.462617633611,8.44526211029886,-21.8421424017925,3.60733358437325e-49,"95.q1.sam30","ThermalRegime",2.52513350906127e-48
"45",3.9682257604284,3.02187675958413,1.31316598132033,0.191067720761192,"95.q1.sam30","HWI",0.329788120765893
"46",-204.149126082573,74.5081834700762,-2.73995575485426,0.00686598530481502,"95.q1.sam30","relevel(Diet, ref = ""invertebrates"")fruit",0.0201189336838766
"47",-116.39934844229,47.9131256305749,-2.42938332472327,0.0162675885267008,"95.q1.sam30","relevel(Diet, ref = ""invertebrates"")omnivore",0.0430704521402731
"48",34.0364425105303,87.42110914432,0.389338946207384,0.697559818096008,"95.q1.sam30","relevel(Diet, ref = ""invertebrates"")seeds",0.770987167369272
"49",-85.7121084150812,163.386085168867,-0.524598580879722,0.600611735132397,"95.q1.sam30","relevel(Diet, ref = ""invertebrates"")vertebrates",0.715756069294929
"50",3325.42288441579,261.537724187124,12.7148880520063,4.4009712959519e-20,"95.q1.sam60","(Intercept)",1.54033995358317e-19
"51",-162.28958090938,11.8593023609127,-13.6845807595119,1.02141873154888e-21,"95.q1.sam60","ThermalRegime",3.67710743357597e-21
"52",9.83457676557589,3.96005480189983,2.48344461315479,0.0153412172284632,"95.q1.sam60","HWI",0.0420215950170949
"53",-222.337447774247,115.453427222011,-1.92577607372974,0.0580814272537071,"95.q1.sam60","relevel(Diet, ref = ""invertebrates"")fruit",0.124038302270629
"54",-164.01610096923,53.9888776806758,-3.0379609285328,0.00331700158401113,"95.q1.sam60","relevel(Diet, ref = ""invertebrates"")omnivore",0.0101937121850098
"55",-138.786365553858,109.73803974496,-1.2647060752717,0.21005508683281,"95.q1.sam60","relevel(Diet, ref = ""invertebrates"")seeds",0.352892545879121
"56",-265.858818968697,231.917808762001,-1.14634930533311,0.255446201466566,"95.q1.sam60","relevel(Diet, ref = ""invertebrates"")vertebrates",0.419115532420438
"57",3966.64707995043,180.04866460606,22.0309719521071,1.32606416632936e-52,"95.q2.sam30","(Intercept)",9.82847558573526e-52
"58",-191.416125667638,7.54439174131977,-25.3719759300506,7.37894945505901e-61,"95.q2.sam30","ThermalRegime",6.64105450955311e-60
"59",2.45674770809152,2.75686286922003,0.891138886710962,0.374064423506939,"95.q2.sam30","HWI",0.535592242748572
"60",-145.14393181395,71.6524896681447,-2.02566487900389,0.0443008798136593,"95.q2.sam30","relevel(Diet, ref = ""invertebrates"")fruit",0.0996769795807334
"61",-106.78755769261,44.0754797534659,-2.42283370005095,0.0164077912915326,"95.q2.sam30","relevel(Diet, ref = ""invertebrates"")omnivore",0.0430704521402731
"62",48.4183678375519,82.2298075882852,0.588817720211348,0.556734244126418,"95.q2.sam30","relevel(Diet, ref = ""invertebrates"")seeds",0.681053541358531
"63",-58.1973966426471,160.514643340989,-0.362567523007952,0.71736053331971,"95.q2.sam30","relevel(Diet, ref = ""invertebrates"")vertebrates",0.779201958605892
"64",3447.10732389465,243.864666192324,14.1353291467658,3.81351598474111e-24,"95.q2.sam60","(Intercept)",1.41324415905112e-23
"65",-170.733812001524,10.6025876659802,-16.103032333262,1.08285074150543e-27,"95.q2.sam60","ThermalRegime",4.26372479467763e-27
"66",8.06130985901115,3.56414220209978,2.26178120902749,0.026232736118581,"95.q2.sam60","HWI",0.0648102892341413
"67",-234.333923371084,83.3225645473372,-2.81237051024701,0.00609148162623652,"95.q2.sam60","relevel(Diet, ref = ""invertebrates"")fruit",0.0182744448787096
"68",-167.304410389428,51.3366050930324,-3.25896911348615,0.00160238771147492,"95.q2.sam60","relevel(Diet, ref = ""invertebrates"")omnivore",0.00531318030646947
"69",-108.619395617911,108.490141339724,-1.00119139192364,0.319543039492746,"95.q2.sam60","relevel(Diet, ref = ""invertebrates"")seeds",0.479314559239119
"70",-247.782030974752,243.407969187342,-1.01797008455398,0.311547445199778,"95.q2.sam60","relevel(Diet, ref = ""invertebrates"")vertebrates",0.472951543315326
"71",3830.52989821009,197.557471842872,19.3894458279802,5.29716750188441e-47,"95.q3.sam30","(Intercept)",3.17830050113065e-46
"72",-190.782028743277,7.65561902865438,-24.920522825025,6.20616123007455e-62,"95.q3.sam30","ThermalRegime",6.01520242299533e-61
"73",4.6945171999222,3.0007339471145,1.56445632390584,0.119365750085903,"95.q3.sam30","HWI",0.231385915551135
"74",-77.2189642682996,75.0013138041394,-1.02956815489861,0.304514776468662,"95.q3.sam30","relevel(Diet, ref = ""invertebrates"")fruit",0.472951543315326
"75",-84.8343373856269,46.7732001481065,-1.81373814742204,0.0712875112384732,"95.q3.sam30","relevel(Diet, ref = ""invertebrates"")omnivore",0.144874619613671
